Index,tweet,Affect_Dimension,target
127,@dpm0319 So funny!!!!!!!!! #lol   #clever,joy,0
128,deni &amp,sadness,0
129,My mom's Puerto Rican. That's why i'm so lively and colorful.,joy,0
130,A #pessimist sees the difficulty in every #opportunity,anger,0
131,@YummyMummiesAU LOL 馃槏 This show is so funny,joy,0
132,Edge of my seat @GameOfThrones loved it #dragonsontheWall,sadness,0
133,maybe i am bad,Depression,1
134,Bro it deadass suck when you try your best to make one person happy and end up letting everyone down #disappointment,sadness,1
135,@JustinOEarlwood #awesome news for the blues,joy,0
136,Somebody called y'all president a fucknugget 馃槀馃槀 idk what that is but it was the laugh I needed this morning 馃槶,joy,0
137,ha 馃檭 ha 馃檭 i just realised that i've never actually been to therapy and i still don't know if i'm depressed or just sad all the time,sadness,1
138,the only problem people should have in the morning is burning their tounges on hot coffee (like i just did),fear,0
139,"""You will not be able to do anything great either for yourself or for mankind if you keep  and frustration as your bodyguards."" ~Sri Chinmoy ",Depression,1
140,鈥淗ave no #fear of #perfection - you'll never reach it.鈥� 鈥� Salvador Dal铆 #Agile #designthinking,fear,0
141,@F3Alpha #F3Roswell #Preblast\nI've been handed the keys to Roswell Area Park. See you in the gloom. Be ready to slip &amp,fear,0
142,damn dave chapelle's new netflix collection is fucking hilarious i love him sm,joy,0
143,Thanks to Dollis Hill's relentless and tenacious PC Leach and colleagues!,anger,0
144,I definitely know my karaoke song now so hmu and it's by Britney shocking,fear,0
145,This feels like 1998 again. Come on default! I鈥檓 cracking open a vodka to celebrate that nuffink changes,Depression,1
146,"There's no one right way to live life but: be kind, be genuine, be honest, be open. #Love yourself &amp; #laugh often. #Mindfulness @HealingMB",joy,0
147,"@tays5h happy birthday baby, i wish you happiness in liiiiife鈽侌煉欌湪",joy,0
148,anxiety is leading to insomnia,Depression,1
149,My dads big day is only less than 2 weeks away. 馃槺 #excited,joy,0
150,@ABCTV @AuSenate @annabelcrabb I confess I didn't watch last week. #bad Are you going to do an episode on accessibility?,fear,0
151,Some people just need to learn how to #smile 馃榿 and #laugh 馃槀馃槀 #live #life,joy,0
152,@interstinman @pandoramusic One nothing else matter enter sandman unforgiving  all awesome songs 馃槉,joy,0
153,All these David Brooks sandwich tweets are much-needed comic relief. #hilarious #sopressatta,joy,0
154,Some steps need to be taken alone. It鈥檚 the only way to really figure out where you need to go and who you need to be.,Depression,1
155,I felt myself #laughing so hard in my sleep ...now I don't remember why馃う馃従鈥嶁檧锔忦煒傪煒傪煒�,joy,0
156,@LoveIsland That rap reminds me of when the kids were small and they would prepare a performance #cute #crap 馃槀,anger,0
157,@sheikhsafina Guts? 馃槀馃槀馃槀 go and sunk your face in sand,sadness,0
158,What living with Borderline personality disorder is like to me.,Depression,1
159,@bbcbristolsport so proud of City...2 Bristol boys scoring and a great performance...where's the cider  #OTIB,joy,0
160,I am in depression help me,Depression,1
161,thankyou everyone hope to see u all soon,Depression,1
162,"You don't need money to have a great life, be eccentric, be creative, be joyful, be entertaining and all you want will come!",joy,0
163,"When I watch sport at times Andy Murray/rugby, it would be best for me to go into a sound proof box. #animated 馃槀 馃槀",joy,0
164,It's a good morning today and I'm feeling lively 馃槉 #goodmorning #happy #lively,joy,0
165,Yaaaaaaaaaaaas!!!! Scotty Sinclair #wonderful #magical,joy,0
166,"@MartinPincot Haha @MartinPincot -  just sent a sext to the vicar with a holy, holy, twist --- My bad 馃槀\n \n#Fun #joy #laughter \n馃懣 ..... 馃槆",joy,0
167,sorry i鈥檝e been ia i was,Depression,1
168,#moist people aren't #offended by a little typo.,anger,0
169,Yesterday I had such a good motivational day. Really wanted to make a difference then bam鈥� overwhelmed and now I want to sleep for a week. Why did I even bother 馃槪?!,Depression,1
170,"My  was bad during my , but 5 mths of job searching has made it worse. The constant rejection--esp. after building a rapport--really makes you doubt your sense of self &amp; question your worth. Anyone else struggling w/ this?    ",Depression,1
171,ain't no sunshine when she's away 鈾�,anger,0
172,"Granny Smiths with Flapjack Crumble, died and in heaven #yummy @stac28 @Kimtins  #NadiyasBritishFoodAdventure",joy,0
173,I'm so in love with that smile of yours馃枻.,joy,0
174,@RuthieeL &amp,joy,0
175,@miracles_J yaaay finally brave enought to comment on their vlive 馃槄,joy,0
176,"Children with depression is as a result of verbal abuse, while growing up I faced the same, I grow up depressed, depression is as a result of verbal abuse in most cases. .      ",Depression,1
177,People who have never dealt with depression think it's just being sad or being in a bad mood. That's not what depression is for me,Depression,1
178,Left out,Depression,1
179,Skyq is 馃憣馃徏 but it's about time @SkyUK sorted there internet out!,fear,0
180,@edutopia What an innovative way for admin to see what's going on in classrooms! #leadup #awesomeness,joy,0
181,"When we (boys) are left alone on the path of love we are always called as the bad onces, but there is no one who could understand the pain through which we are going.        ",Depression,1
182,nothing happened to make me sad but i almost burst into tears like 3 times today驴,sadness,1
183,I have no friends,Depression,1
184,ain't no sunshine when she's away 鈾�,fear,0
185,@emaalymaae Looks beautiful 馃槝,joy,0
186,"please, more comments from #tweeters that don't look at charts! #adorable $snap",joy,0
187,"It鈥檚 a bit funny to me, although you鈥檙e everything to me\nsometimes I am no better than a stranger\n-Sing for you- 馃槉",joy,0
188,"Thought For The Day\n\nRemain Unruffled\n\n2 Thes 3:13 says 'But ye, brethren, be not weary in well doing.' For many years I have",fear,0
189,I'll die soon,Depression,1
190,@mir_btc Eherium should make everybody happy,joy,0
191,i do love shack shake,sadness,0
192,@TheSocialCTV I'd never leave the couch again! #excited and #weary 鉂わ笍,joy,0
193,Nothing seems good,Depression,1
194,"I have some trouble with the title, but everything else is dead on.     ",Depression,1
195,The point of maximum danger is the point of minimum fear.,fear,0
196,@Villesportslaw You are way late to the party my friend. We were all over this yesterday... #hilarious,joy,0
197,I'm so proud of myself for having a productive morning 馃槬,sadness,0
198,"I feel miserable, I'm nothing more than a piece of garbage that everybody screams at and uses! No way to buy anything with no credit with an uncaring payee. Forced to move things way to heavy for me. MY life is miserable!   ",Depression,1
199,I was born alone  I'll die alone  I'll be on my own forever  No matter how much I give to people  No matter the love I show  It will just be me  In this god forsaken hole,Depression,1
200,MOMS - NO Dancing at the bus stop... you might embarrass your kid 馃槀馃槀#luckytohaveme\n#momonfire #giggles,joy,0
201,"@WorldFringeDay Heehee. I did chuckle to myself when i saw what it actually was, so you did get a laugh out if me. \n馃榾",joy,0
202,the one who stayed,sadness,0
203,........,Depression,1
204,i think i'll be sad from today until 357632477 years later....im not getting over this sadness,sadness,1
205,"@chuckwoolery I Feel sick reading this, when does it end? #dread #civil war? #sad",sadness,1
206,@Iamdepr47974144 When did you begin feeling like this?,Depression,1
207,@MaxineWaters Love you! #relentless Thank you for being a voice for our country!,anger,0
208,How I have felt lately.,Depression,1
209,"Difficulties are meant to rouse, not discourage. The human spirit is to grow strong by conflict. William Ellery Channing",fear,0
210,"I鈥檓 hurting yo, finna go off the interwebs for a while, real ghost mode type stuff. Keep safe rats 馃枻馃敧馃拪馃拤馃└馃└馃└馃拪馃拤馃敧馃枻馃槳 ",Depression,1
211,"You can be discouraged by failure or you can learn from it. -- Thomas J. Watson,#motivationalquote,#success",anger,0
212,"What an amazing statement, really clears things up. @realDonaldTrump #believeme #tremendous #maga #russia",fear,0
213,"Father, GOD we pray for all the people suffering from depression tonight, I place them in Your hands to help them get through this terrible darkness of depression and fill their hearts with hope and healing. In Christ Jesus - Name - Amen!    ",Depression,1
214,"#smiles are great investment. The more we collect, the better we feel.. have a nice smiling day... #goodmorning",joy,0
215,"Is @Tonysuniverse on Fourth of July holiday in his mind?\nOr is the heatwave getting to him, ha?\nGOTTA use your mic! 馃榾\nThanks for the giggle!",joy,0
216,"If your nail polish has hardened or is gummy, place the bottle in a pan of boiling water. The polish will be like new.",anger,0
217,"People usually say.....  Waqt sabka badal ta h...  It's genuinely true...  But no one ever says that with passage of time, memories of your broken love gets deleted.   ",Depression,1
218,@VitaCocoUK WOW 馃槏 This is wonderfully exciting! Would be a very happy treat to win 鉁� Thank you for the chance 鉂わ笍锔� Retweeted &amp,joy,0
219,Why always me??,Depression,1
220,@Jesus_Luvs_Us Hello Jillian &amp,joy,0
221,1-3KohGe銉糂uddhism verse for cleanse oneself with incense #Buddha,anger,0
222,I just wanna runaway and never look back 馃弮鈥嶁檪锔忦煉�,Depression,1
223,Well played radio station. Playing the song 'Total Eclipse of the Heart' at the start of the eclipse! #Eclipse #brilliant,joy,0
224,Just realized I'm slowing turning into Charlie brown,Depression,1
225,Her bad vibes are contagious 馃檭   lol,Depression,1
226,I鈥檓 like tired but not the sleepy kind of tired.,Depression,1
227,I can not watch @BobsBurgersFOX  on my lunch anymore. I am laughing way too much by myself for this to be acceptable. #crazylady,joy,0
228,"#Laughter creates a #positive #aura &amp; transforms you into the most #beautiful , #dynamic &amp; #attractive person. \n#Yoga #YogaLaugh",joy,0
229,Not the happiest right now.,Depression,1
230,If your only response to this current political crap show is 'but Hillary!!' Or 'but Obama!!' you need to start looking for a new argument.,fear,0
231,@dp_srk_rk It's going 3 only. He has berdych tomorrow. Nothing to worry. Easiest draw,fear,0
232,Having fun today at Mad museum Stratford upon Avon,anger,0
233,Im slowly drowning myself Im trying to save someone else.,Depression,1
234,Today鈥檚 world is not easy,Depression,1
235,"Feels like the withdrawal is easing a little, not exhausted so much but feeling sick and anxious.  The tablets we are given have side effects and withdrawal effects that are as bad as the illness they treat.  I demand better for us all, there has to be a better way. ",Depression,1
236,Welcome new followers @GibbonWa @Halmarun @CleanFaceSkin We will mostly be talking #happiness &amp,joy,0
237,@PearlJam YES!!! Love it!!! 馃挒馃挒馃挒馃幎馃幎馃幎馃帴鈿锯毦鈿攫煈忦煈忦煈� #thankyou #awesomeness,joy,0
238,Being   and generally in a  state is not a   Each person  their own  over their own   It's not a  to the finish Don't  or try  somebody's,Depression,1
239,"Welp, decent day when straight down the drain. And now I鈥檓 having ideation thoughts. Depression sucks.      ",Depression,1
240,@ggreenwald Macron slips up and has a moment of clarity &amp,fear,0
241,NO MORE DOING THIS ALONE!!  Let鈥檚 win the day!,Depression,1
242,"Mankind's oldest written narrative -- the Epic of Gilgamesh -- describes a case of severe  in the eponymous hero after his best friend, the Paleolithic savage Enkidu, dies of a lethal disease.",Depression,1
243,Just tried @GoodmanBakery for the 1st time... GF for 13 yrs &amp,joy,0
244,Great meeting with my great friend and superstar lawyer Bryan Freedman @ftllp .  Such an amazing person who does so much for many.,joy,0
245,Go harder when everyone else has had enough. #relentless #Cleaner,fear,0
246,"Psalm 2:12 Kiss the Son, lest He be angry, And you perish in the way, When His wrath is kindled but a little.",anger,0
247,I'm useless,Depression,1
248,And all the bullshit in your live ends and nothing will bother you ever again #depression,sadness,1
249,Today marks seven years since the Kyadondo terrorist attack where many lost loved ones. We mourn &amp,sadness,0
250,"Before achieving anything, your thoughts must be lifted. Lifted above the slavish animal indulgence.        ",Depression,1
251,Difficult roads often lead to Beautiful destinations! #keepgoing #keeppushing #startsomewhere #key #start,fear,0
252,Happy right now I just beaten the second game of crash bandicoot one more to go now didn't get that mad 馃槨 at the game lol 馃槀,anger,0
253,Good for nothing,Depression,1
254,Fast and furious marathon soon! 鉁岎煆�,anger,0
255,Confidence c|mos not from always being right but from not fearing ho be wrong.-Peter,sadness,0
256,i love emailing my academic advisor being like hey bestie it鈥檚 me again. i鈥檓 not gonna pass any of my classes again because i鈥檓,Depression,1
257,Horny. Anyone? #horny #bi #sex #london #snapchat #gaysnap #hornysnap #snapchatgay #snapchathorny #gaysnapchat #hornysnapchat #snapgay #snap,fear,0
258,Strapless wedding dresses look awful on most people. \nJulianne Hough looked great 馃憣馃徏,fear,0
259,@joeAlane @KayleyHignell Think too timid. I think a 拢50 fee for all for ETs as suggested by @Wonkypolicywonk is way to go.,fear,0
260,Can't sleep.. been awake for hours! Still haven't come up with an answer.. #stressed #cantsleep #sotired,sadness,1
261,I've come to the conclusion that @AmericanDadTBS is the best #animated #show ever. It really knows how to #tickle my giggle muscle.,joy,0
262,Make her burst into laughter bcs of you.,joy,0
263,i got a place at that school and i start monday!! i'm so excited! (even if it is just 3 days haha),joy,0
264,@Hayles_101 Delaney keeping up his awesome Manchester United transfer record...\n\n馃槀,joy,0
265,"I am so utterly disappointed that he would treat me like this, I am now suicidal. P.S please send me money so I鈥檓 not suicidal.        ",Depression,1
266,Today is already off to a great start..... 馃檮,anger,0
267,When you are able to treat your queen the things that she wants. Such a pleasing feeling,joy,0
268,"stress and ; and insomnia that is worsened by stress,  and ,  and I鈥檓 now locked in a self-feeding cycle where the insomnia causes pain that causes me to be unable to work and that causes me stress because  sucks 8/?",Depression,1
269,Never underestimate yourself,joy,0
270,Does anyone else feel really discouraged or disconnected this week? As a college art student I feel really off and not enjoying creating art which is strange for me.,Depression,1
271,"@SAVAGEKERMlT don't #worry, froggy\nit will SOON be TIME for #FROGFEARFRIDAY!",fear,0
272,Am i ugly?,Depression,1
273,Lately I been feeling so dead in my own skin.,Depression,1
274,On our way to #Gamescom17 What can we expect and who will we meet? #excitement,joy,0
275,"@FlamingGrillby 'my own mistakes?' Grisk asked - well, more of a growl 'My mistakes meant that I could /learn/ from them and improve!'",fear,0
276,How are you feeling mentally?,Depression,1
277,"So I am pretty , ran out of  It鈥檚 tough",Depression,1
278,Today's ECLIPSE was a warm fuzzy for the entire country. A GIANT GROUP HUG鉂わ笍馃槑馃挄#EclipseSolar2017 #repair #smiles,joy,0
279,"Rejoice always, #pray continually, #givethanks in all circumstances; for this is God鈥檚 will for you in Christ Jesus. 1 Thess. 5:16-18 #joy",joy,0
280,Good Morning #start 2Wheel #free course *Pune *8888006565,fear,0
281,A shout out to all fellow #12Step-pers. You got this! #recovery  #clean,sadness,0
282,fell down a rabbit hole and went on a big binge fest for however long since i came back so  but i'm back and i am not gnna give up lol,Depression,1
283,"Best customer, ... We are pleased to inform you that the order has been sent today.' #butterflies #excitement #technojoy #music ~ OP-1 &lt;3",joy,0
284,@dngokingyok They are my hetero guilty pleasure 馃槀,joy,0
285,i feel low and sad,Depression,1
286,I want to be like Eunice. #relentless,anger,0
287,@whounfollowedme - I'm #very #glad to see You in my community !,joy,0
288,Thank God for grace,fear,0
289,Night all... not worth living     he cheated... great eh? Xx,Depression,1
290,"Mood is never good, why so?",Depression,1
291,@theviberide great workout this morning alongside @Emily_Gagnon thx #Courtney my legs are still,sadness,0
292,"Spread the love means no matter how hard life is, never stop smilling :) and be happy. Always.",joy,0
293,@instaafp are we in for Lemar even though wenger was very coy about him in his press conference,fear,0
294,Being able to sleep in just boxers is probably one of the best pros that comes with being a guy #breezy,joy,0
295,"You aren't weathly until you have something, money can't but. \n #goodmorning   #bless #guidelife #usa #uk #ksa",joy,0
296,@samasaurus6 happy I got it recently on the summer sales :D,joy,0
297,#alarm Bel OC Limburg 157901 - Unknown address,fear,0
298,"When emotions are all over the place and ride you to the past trauma..consistency, exercise, work and much of focus can spin you out of the mind. All that are    do something that is not easy. GM 馃馃檹馃弸馃拑  ",Depression,1
299,no too depression 馃挃馃毇馃毇,Depression,1
300,@talkfreelyalway @westbrookdanni Haha 馃憣馃徏it's nice to know you take the time to find out so much about me too #flattered 馃槝,joy,0
301,...  at   ... Seems like anywhere you point there is a  either active or brewing ...  out there ... if you can,Depression,1
302,All the proud parents on fb about their kids school report and am shitting myself for Graces arriving 馃槀馃槀馃槀  #troublemaker,sadness,0
303,"@SolforCO @kristenschaaled @YahooNews Embarrassing. Others are taking note of our past male (now female) H.S. like behavior. Be smart, be  OF TRUE FEELINGS IN .      ",Depression,1
304,Does anybody get like this?,Depression,1
305,Just now consequences of my financial problems have surpassed consequences of my mental illness,Depression,1
306,it sucks that my phone got formatted earlier and all contacts and apps are gone 馃槬,sadness,1
307,I feel this one on a personal level. Sometimes there is no reason as to why you're depressed and sometimes it's so much more than words can describe.,Depression,1
308,beautiful day Lord has made let us rejoice &amp,joy,0
309,It's now raining and I can hear thunder growl somewhere. Good day to read some more.,sadness,0
310,Depression doesn鈥檛 always look the same for everyone. Be aware.,Depression,1
311,Depression sucks #getHelp,sadness,1
